DATE OF FINAL,YEAR,TOURNAMENT,WINNER,DOB,Age when Grand Slam won (days),"Age when Grand Slam won (years, months, days)"
10/09/17,2017,U.S. Open,Rafael Nadal,03/06/1986,11422,
16/07/17,2017,Wimbledon,Roger Federer,08/08/1981,13126,
11/06/17,2017,French Open,Rafael Nadal,03/06/1986,11331,
29/01/17,2017,Australian Open,Roger Federer,08/08/1981,12958,
11/09/16,2016,U.S. Open,Stan Wawrinka,28/03/1985,11490,
10/07/16,2016,Wimbledon,Andy Murray,15/05/1987,10649,
05/06/16,2016,French Open,Novak Djokovic,22/05/1987,10607,
31/01/16,2016,Australian Open,Novak Djokovic,22/05/1987,10481,
13/09/15,2015,U.S. Open,Novak Djokovic,22/05/1987,10341,
12/07/15,2015,Wimbledon,Novak Djokovic,22/05/1987,10278,
07/06/15,2015,French Open,Stan Wawrinka,28/03/1985,11028,
01/02/15,2015,Australian Open,Novak Djokovic,22/05/1987,10117,
08/09/14,2014,U.S. Open,Marin Cilic,28/09/1988,9476,
07/07/14,2014,Wimbledon,Novak Djokovic,22/05/1987,9908,
08/06/14,2014,French Open,Rafael Nadal,03/06/1986,10232,
26/01/14,2014,Australian Open,Stan Wawrinka,28/03/1985,10531,
09/09/13,2013,U.S. Open,Rafael Nadal,03/06/1986,9960,
07/07/13,2013,Wimbledon,Andy Murray,15/05/1987,9550,
09/06/13,2013,French Open,Rafael Nadal,03/06/1986,9868,
27/01/13,2013,Australian Open,Novak Djokovic,22/05/1987,9382,
10/09/12,2012,U.S. Open,Andy Murray,15/05/1987,9250,
08/07/12,2012,Wimbledon,Roger Federer,08/08/1981,11292,
11/06/12,2012,French Open,Rafael Nadal,03/06/1986,9505,
29/01/12,2012,Australian Open,Novak Djokovic,22/05/1987,9018,
12/09/11,2011,U.S. Open,Novak Djokovic,22/05/1987,8879,
03/07/11,2011,Wimbledon,Novak Djokovic,22/05/1987,8808,
05/06/11,2011,French Open,Rafael Nadal,03/06/1986,9133,
30/01/11,2011,Australian Open,Novak Djokovic,22/05/1987,8654,
13/09/10,2010,U.S. Open,Rafael Nadal,03/06/1986,8868,
04/07/10,2010,Wimbledon,Rafael Nadal,03/06/1986,8797,
06/06/10,2010,French Open,Rafael Nadal,03/06/1986,8769,
31/01/10,2010,Australian Open,Roger Federer,08/08/1981,10403,
14/09/09,2009,U.S. Open,Juan Martin del Potro,23/09/1988,7661,
05/07/09,2009,Wimbledon,Roger Federer,08/08/1981,10193,
07/06/09,2009,French Open,Roger Federer,08/08/1981,10165,
01/02/09,2009,Australian Open,Rafael Nadal,03/06/1986,8279,
08/09/08,2008,U.S. Open,Roger Federer,08/08/1981,9893,
06/07/08,2008,Wimbledon,Rafael Nadal,03/06/1986,8069,
08/06/08,2008,French Open,Rafael Nadal,03/06/1986,8041,
27/01/08,2008,Australian Open,Novak Djokovic,22/05/1987,7555,
09/09/07,2007,U.S. Open,Roger Federer,08/08/1981,9528,
08/07/07,2007,Wimbledon,Roger Federer,08/08/1981,9465,
10/06/07,2007,French Open,Rafael Nadal,03/06/1986,7677,
28/01/07,2007,Australian Open,Roger Federer,08/08/1981,9304,
10/09/06,2006,U.S. Open,Roger Federer,08/08/1981,9164,
09/07/06,2006,Wimbledon,Roger Federer,08/08/1981,9101,
11/06/06,2006,French Open,Rafael Nadal,03/06/1986,7313,
29/01/06,2006,Australian Open,Roger Federer,08/08/1981,8940,
11/09/05,2005,U.S. Open,Roger Federer,08/08/1981,8800,
03/07/05,2005,Wimbledon,Roger Federer,08/08/1981,8730,
05/06/05,2005,French Open,Rafael Nadal,03/06/1986,6942,
30/01/05,2005,Australian Open,Marat Safin,27/01/1980,9135,
12/09/04,2004,U.S. Open,Roger Federer,08/08/1981,8436,
04/07/04,2004,Wimbledon,Roger Federer,08/08/1981,8366,
06/06/04,2004,French Open,Gaston Gaudio,09/12/1978,9311,
01/02/04,2004,Australian Open,Roger Federer,08/08/1981,8212,
07/09/03,2003,U.S. Open,Andy Roddick,30/08/1982,7678,
06/07/03,2003,Wimbledon,Roger Federer,08/08/1981,8002,
08/06/03,2003,French Open,Juan Carlos Ferrero,12/02/1980,8517,
26/01/03,2003,Australian Open,Andre Agassi,29/04/1970,11960,
08/09/02,2002,U.S. Open,Pete Sampras,12/08/1971,11350,
07/07/02,2002,Wimbledon,Lleyton Hewitt,24/02/1981,7803,
09/06/02,2002,French Open,Albert Costa,25/06/1975,9846,
27/01/02,2002,Australian Open,Thomas Johannson,24/03/1975,9806,
09/09/01,2001,U.S. Open,Lleyton Hewitt,24/02/1981,7502,
09/07/01,2001,Wimbledon,Goran Ivanisevic,13/09/1971,10892,
10/06/01,2001,French Open,Gustavo Kuerten,10/09/1976,9039,
28/01/01,2001,Australian Open,Andre Agassi,29/04/1970,11232,
10/09/00,2000,U.S. Open,Marat Safin,27/01/1980,7532,
09/07/00,2000,Wimbledon,Pete Sampras,12/08/1971,10559,
11/06/00,2000,French Open,Gustavo Kuerten,10/09/1976,8675,
30/01/00,2000,Australian Open,Andre Agassi,29/04/1970,10868,
12/09/99,1999,U.S. Open,Andre Agassi,29/04/1970,10728,
04/07/99,1999,Wimbledon,Pete Sampras,12/08/1971,10188,
06/06/99,1999,French Open,Andre Agassi,29/04/1970,10630,
31/01/99,1999,Australian Open,Yevgeny Kafelnikov,18/02/1974,9113,
13/09/98,1998,U.S. Open,Patrick Rafter,28/12/1972,9390,
05/07/98,1998,Wimbledon,Pete Sampras,12/08/1971,9824,
07/06/98,1998,French Open,Carlos Moya,27/08/1976,7954,
01/02/98,1998,Australian Open,Petr Korda,23/01/1968,10967,
07/09/97,1997,U.S. Open,Patrick Rafter,28/12/1972,9019,
06/07/97,1997,Wimbledon,Pete Sampras,12/08/1971,9460,
08/06/97,1997,French Open,Gustavo Kuerten,10/09/1976,7576,
26/01/97,1997,Australian Open,Pete Sampras,12/08/1971,9299,
08/09/96,1996,U.S. Open,Pete Sampras,12/08/1971,9159,
07/07/96,1996,Wimbledon,Richard Krajicek,06/12/1971,8980,
09/06/96,1996,French Open,Yevgeny Kafelnikov,18/02/1974,8147,
28/01/96,1996,Australian Open,Boris Becker,22/11/1967,10294,
10/09/95,1995,U.S. Open,Pete Sampras,12/08/1971,8795,
09/07/95,1995,Wimbledon,Pete Sampras,12/08/1971,8732,
11/06/95,1995,French Open,Thomas Muster,02/10/1967,10114,
29/01/95,1995,Australian Open,Andre Agassi,29/04/1970,9041,
11/09/94,1994,U.S. Open,Andre Agassi,29/04/1970,8901,
03/07/94,1994,Wimbledon,Pete Sampras,12/08/1971,8361,
05/06/94,1994,French Open,Sergi Bruguera,16/01/1971,8541,
30/01/94,1994,Australian Open,Pete Sampras,12/08/1971,8207,
12/09/93,1993,U.S. Open,Pete Sampras,12/08/1971,8067,
04/07/93,1993,Wimbledon,Pete Sampras,12/08/1971,7997,
06/06/93,1993,French Open,Sergi Bruguera,16/01/1971,8177,
31/01/93,1993,Australian Open,Jim Courier,17/08/1970,8203,
13/09/92,1992,U.S. Open,Stefan Edberg,19/01/1966,9734,
05/07/92,1992,Wimbledon,Andre Agassi,29/04/1970,8103,
07/06/92,1992,French Open,Jim Courier,17/08/1970,7965,
26/01/92,1992,Australian Open,Jim Courier,17/08/1970,7832,
08/09/91,1991,U.S. Open,Stefan Edberg,19/01/1966,9363,
07/07/91,1991,Wimbledon,Michael Stich,18/10/1968,8297,
09/06/91,1991,French Open,Jim Courier,17/08/1970,7601,
27/01/91,1991,Australian Open,Boris Becker,22/11/1967,8467,
09/09/90,1990,U.S. Open,Pete Sampras,12/08/1971,6968,
08/07/90,1990,Wimbledon,Stefan Edberg,19/01/1966,8936,
10/06/90,1990,French Open,Andres Gomez,27/02/1960,11061,
28/01/90,1990,Australian Open,Ivan Lendl,07/03/1960,10919,
10/09/89,1989,U.S. Open,Boris Becker,22/11/1967,7963,
09/07/89,1989,Wimbledon,Boris Becker,22/11/1967,7900,
11/06/89,1989,French Open,Michael Chang,22/02/1972,6319,
29/01/89,1989,Australian Open,Ivan Lendl,07/03/1960,10555,
11/09/88,1988,U.S. Open,Mats Wilander,22/08/1964,8786,
04/07/88,1988,Wimbledon,Stefan Edberg,19/01/1966,8202,
05/06/88,1988,French Open,Mats Wilander,22/08/1964,8688,
24/01/88,1988,Australian Open,Mats Wilander,22/08/1964,8555,
14/09/87,1987,U.S. Open,Ivan Lendl,07/03/1960,10052,
05/07/87,1987,Wimbledon,Pat Cash,27/05/1965,8074,
07/06/87,1987,French Open,Ivan Lendl,07/03/1960,9953,
25/01/87,1987,Australian Open,Stefan Edberg,19/01/1966,7676,
07/09/86,1986,U.S. Open,Ivan Lendl,07/03/1960,9680,
06/07/86,1986,Wimbledon,Boris Becker,22/11/1967,6801,
08/06/86,1986,French Open,Ivan Lendl,07/03/1960,9589,
08/12/85,1985,Australian Open,Stefan Edberg,19/01/1966,7263,
08/09/85,1985,U.S. Open,Ivan Lendl,07/03/1960,9316,
07/07/85,1985,Wimbledon,Boris Becker,22/11/1967,6437,
09/06/85,1985,French Open,Mats Wilander,22/08/1964,7596,
09/12/84,1984,Australian Open,Mats Wilander,22/08/1964,7414,
09/09/84,1984,U.S. Open,John McEnroe,16/02/1959,9337,
08/07/84,1984,Wimbledon,John McEnroe,16/02/1959,9274,
10/06/84,1984,French Open,Ivan Lendl,07/03/1960,8861,
11/12/83,1983,Australian Open,Mats Wilander,22/08/1964,7050,
11/09/83,1983,U.S. Open,Jimmy Connors,02/09/1952,11331,
03/07/83,1983,Wimbledon,John McEnroe,16/02/1959,8903,
05/06/83,1983,French Open,Yannick Noah,18/05/1960,8418,
13/12/82,1982,Australian Open,Johan Kriek,05/04/1958,9018,
12/09/82,1982,U.S. Open,Jimmy Connors,02/09/1952,10967,
04/07/82,1982,Wimbledon,Jimmy Connors,02/09/1952,10897,
06/06/82,1982,French Open,Mats Wilander,22/08/1964,6497,
03/01/82,1981,Australian Open,Johan Kriek,05/04/1958,8674,
13/09/81,1981,U.S. Open,John McEnroe,16/02/1959,8245,
04/07/81,1981,Wimbledon,John McEnroe,16/02/1959,8174,
07/06/81,1981,French Open,Bjorn Borg,06/06/1956,9132,
04/01/81,1980,Australian Open,Brian Teacher,23/12/1954,9509,
07/09/80,1980,U.S. Open,John McEnroe,16/02/1959,7874,
06/07/80,1980,Wimbledon,Bjorn Borg,06/06/1956,8796,
08/06/80,1980,French Open,Bjorn Borg,06/06/1956,8768,
02/01/80,1979,Australian Open,Guillermo Vilas,17/08/1952,9999,
09/09/79,1979,U.S. Open,John McEnroe,16/02/1959,7510,
07/07/79,1979,Wimbledon,Bjorn Borg,06/06/1956,8431,
11/06/79,1979,French Open,Bjorn Borg,06/06/1956,8405,
03/01/79,1978,Australian Open,Guillermo Vilas,17/08/1952,9635,
10/09/78,1978,U.S. Open,Jimmy Connors,02/09/1952,9504,
08/07/78,1978,Wimbledon,Bjorn Borg,06/06/1956,8067,
11/06/78,1978,French Open,Bjorn Borg,06/06/1956,8040,
31/12/77,1977,Australian Open (Dec),Vitas Gerulaitis,26/07/1954,8559,
11/09/77,1977,U.S. Open,Guillermo Vilas,17/08/1952,9156,
02/07/77,1977,Wimbledon,Bjorn Borg,06/06/1956,7696,
05/06/77,1977,French Open,Guillermo Vilas,17/08/1952,9058,
09/01/77,1977,Australian Open (Jan),Roscoe Tanner,15/10/1951,9218,
12/09/76,1976,U.S. Open,Jimmy Connors,02/09/1952,8776,
03/07/76,1976,Wimbledon,Bjorn Borg,06/06/1956,7332,
14/06/76,1976,French Open,Adriano Panatta,09/07/1950,9472,
04/01/76,1976,Australian Open,Mark Edmondson,24/06/1954,7864,
07/09/75,1975,U.S. Open,Manuel Orantes,06/02/1949,9709,
05/07/75,1975,Wimbledon,Arthur Ashe,10/07/1943,11683,
15/06/75,1975,French Open,Bjorn Borg,06/06/1956,6948,
01/01/75,1975,Australian Open,John Newcombe,23/05/1944,11180,
08/09/74,1974,U.S. Open,Jimmy Connors,02/09/1952,8041,
06/07/74,1974,Wimbledon,Jimmy Connors,02/09/1952,7977,
16/06/74,1974,French Open,Bjorn Borg,06/06/1956,6584,
01/01/74,1974,Australian Open,Jimmy Connors,02/09/1952,7791,
09/09/73,1973,U.S. Open,John Newcombe,23/05/1944,10701,
08/07/73,1973,Wimbledon,Jan Kodes,01/03/1946,9991,
03/06/73,1973,French Open,Ilie Nastase,19/07/1946,9816,
01/01/73,1973,Australian Open,John Newcombe,23/05/1944,10450,
10/09/72,1972,U.S. Open,Ilie Nastase,19/07/1946,9550,
09/07/72,1972,Wimbledon,Stan Smith,14/12/1946,9339,
04/06/72,1972,French Open,Andres Gimeno,03/08/1937,12724,
03/01/72,1972,Australian Open,Ken Rosewall,02/11/1934,13576,
12/09/71,1971,U.S. Open,Stan Smith,14/12/1946,9038,
03/07/71,1971,Wimbledon,John Newcombe,23/05/1944,9902,
06/06/71,1971,French Open,Jan Kodes,01/03/1946,9228,
14/03/71,1971,Australian Open,Ken Rosewall,02/11/1934,13281,
13/09/70,1970,U.S. Open,Ken Rosewall,02/11/1934,13099,
04/07/70,1970,Wimbledon,John Newcombe,23/05/1944,9538,
07/06/70,1970,French Open,Jan Kodes,01/03/1946,8864,
27/01/70,1970,Australian Open,Arthur Ashe,10/07/1943,9698,
09/09/69,1969,U.S. Open,Rod Laver,09/08/1938,11354,
05/07/69,1969,Wimbledon,Rod Laver,09/08/1938,11288,
08/06/69,1969,French Open,Rod Laver,09/08/1938,11261,
27/01/69,1969,Australian Open,Rod Laver,09/08/1938,11129,
08/09/68,1968,U.S. Open,Arthur Ashe,10/07/1943,9192,
06/07/68,1968,Wimbledon,Rod Laver,09/08/1938,10924,
09/06/68,1968,French Open,Ken Rosewall,02/11/1934,12273,
29/01/68,1968,Australian Open,Bill Bowrey,25/12/1943,8801,
10/09/67,1967,U.S. Open,John Newcombe,23/05/1944,8510,
07/07/67,1967,Wimbledon,John Newcombe,23/05/1944,8445,
03/06/67,1967,French Open,Roy Emerson,03/11/1936,11169,
30/01/67,1967,Australian Open,Roy Emerson,03/11/1936,11045,
12/09/66,1966,U.S. Open,Fred Stolle,08/10/1938,10201,
02/07/66,1966,Wimbledon,Manuel Santana,10/05/1938,10280,
05/06/66,1966,French Open,Tony Roche,17/05/1945,7689,
31/01/66,1966,Australian Open,Roy Emerson,03/11/1936,10681,
12/09/65,1965,U.S. Open,Manuel Santana,10/05/1938,9987,
02/07/65,1965,Wimbledon,Roy Emerson,03/11/1936,10468,
29/05/65,1965,French Open,Fred Stolle,08/10/1938,9730,
01/02/65,1965,Australian Open,Roy Emerson,03/11/1936,10317,
13/09/64,1964,U.S. Open,Roy Emerson,03/11/1936,10176,
03/07/64,1964,Wimbledon,Roy Emerson,03/11/1936,10104,
30/05/64,1964,French Open,Manuel Santana,10/05/1938,9517,
13/01/64,1964,Australian Open,Roy Emerson,03/11/1936,9932,
08/09/63,1963,U.S. Open,Rafael Osuna,15/09/1938,9124,
05/07/63,1963,Wimbledon,C.R. McKinley,05/01/1941,8216,
26/05/63,1963,French Open,Roy Emerson,03/11/1936,9700,
19/01/63,1963,Australian Open,Roy Emerson,03/11/1936,9573,
10/09/62,1962,U.S. Open,Rod Laver,09/08/1938,8798,
06/07/62,1962,Wimbledon,Rod Laver,09/08/1938,8732,
02/06/62,1962,French Open,Rod Laver,09/08/1938,8698,
15/01/62,1962,Australian Open,Rod Laver,09/08/1938,8560,
10/09/61,1961,U.S. Open,Roy Emerson,03/11/1936,9077,
08/07/61,1961,Wimbledon,Rod Laver,09/08/1938,8369,
27/05/61,1961,French Open,Manuel Santana,10/05/1938,8418,
27/01/61,1961,Australian Open,Roy Emerson,03/11/1936,8851,
17/09/60,1960,U.S. Open,Neale Fraser,03/10/1933,9846,
01/07/60,1960,Wimbledon,Neale Fraser,03/10/1933,9768,
28/05/60,1960,French Open,Nicola Pietrangeli,11/09/1933,9756,
01/02/60,1960,Australian Open,Rod Laver,09/08/1938,7846,
13/09/59,1959,U.S. Open,Neale Fraser,03/10/1933,9476,
03/07/59,1959,Wimbledon,"Alejandro ""Alex"" Olmedo",24/03/1936,8501,
30/05/59,1959,French Open,Nicola Pietrangeli,11/09/1933,9392,
26/01/59,1959,Australian Open,"Alejandro ""Alex"" Olmedo",24/03/1936,8343,
07/09/58,1958,U.S. Open,Ashley J. Cooper,15/09/1936,8027,
04/07/58,1958,Wimbledon,Ashley J. Cooper,15/09/1936,7962,
31/05/58,1958,French Open,Mervyn Rose,23/01/1930,10355,
27/01/58,1958,Australian Open,Ashley J. Cooper,15/09/1936,7804,
08/09/57,1957,U.S. Open,Malcolm J. Anderson,03/03/1935,8225,
05/07/57,1957,Wimbledon,Lewis Hoad,23/11/1934,8260,
01/06/57,1957,French Open,Sven Davidson,13/07/1928,10550,
28/01/57,1957,Australian Open,Ashley J. Cooper,15/09/1936,7440,
09/09/56,1956,U.S. Open,Ken Rosewall,02/11/1934,7982,
06/07/56,1956,Wimbledon,Lewis Hoad,23/11/1934,7896,
26/05/56,1956,French Open,Lewis Hoad,23/11/1934,7855,
30/01/56,1956,Australian Open,Lewis Hoad,23/11/1934,7738,
11/09/55,1955,U.S. Open,Tony Trabert,16/08/1930,9157,
01/07/55,1955,Wimbledon,Tony Trabert,16/08/1930,9085,
04/06/55,1955,French Open,Tony Trabert,16/08/1930,9058,
31/01/55,1955,Australian Open,Ken Rosewall,02/11/1934,7395,
06/09/54,1954,U.S. Open,E. Victor Seixas Jr.,30/08/1923,11330,
02/07/54,1954,Wimbledon,Jaroslav Drobny,12/10/1921,11951,
29/05/54,1954,French Open,Tony Trabert,16/08/1930,8687,
01/02/54,1954,Australian Open,Mervyn Rose,23/01/1930,8775,
07/09/53,1953,U.S. Open,Tony Trabert,16/08/1930,8423,
03/07/53,1953,Wimbledon,E. Victor Seixas Jr.,30/08/1923,10900,
30/05/53,1953,French Open,Ken Rosewall,02/11/1934,6784,
17/01/53,1953,Australian Open,Ken Rosewall,02/11/1934,6651,
08/09/52,1952,U.S. Open,Frank Sedgman,29/10/1927,9081,
04/07/52,1952,Wimbledon,Frank Sedgman,29/10/1927,9015,
01/06/52,1952,French Open,Jaroslav Drobny,12/10/1921,11190,
28/01/52,1952,Australian Open,Ken McGregor,02/06/1929,8275,
05/09/51,1951,U.S. Open,Frank Sedgman,29/10/1927,8712,
06/07/51,1951,Wimbledon,Dick Savitt,04/03/1927,8890,
03/06/51,1951,French Open,Jaroslav Drobny,12/10/1921,10826,
