DATE OF FINAL,YEAR,Decade,TOURNAMENT,WINNER,DOB,Age when Grand Slam won (days lived),"Age when Grand Slam won (years, rounded)",(days since last birthday),Age when Grand Slam won (years)
09 September 2017,2017,2010s,U.S. Open,Sloane Stephens,20/03/1993,8939,24,179,24.49041096
15 July 2017,2017,2010s,Wimbledon,Garbine Muguruza,08/10/1993,8681,23,286,23.78356164
10 June 2017,2017,2010s,French Open,Jeļena Ostapenko,08/06/1997,7307,20,7,20.01917808
28 January 2017,2017,2010s,Australian Open,Serena Williams,26/09/1981,12908,35,133,35.36438356
10 September 2016,2016,2010s,U.S. Open,Angelique Kerber,18/01/1988,10463,28,243,28.66575342
09 July 2016,2016,2010s,Wimbledon,Serena Williams,26/09/1981,12705,34,295,34.80821918
04 June 2016,2016,2010s,French Open,Garbine Muguruza,08/10/1993,8275,22,245,22.67123288
30 January 2016,2016,2010s,Australian Open,Angelique Kerber,18/01/1988,10239,28,19,28.05205479
12 September 2015,2015,2010s,U.S. Open,Flavia Pennetta,25/02/1982,12252,33,207,33.56712329
11 July 2015,2015,2010s,Wimbledon,Serena Williams,26/09/1981,12341,33,296,33.8109589
06 June 2015,2015,2010s,French Open,Serena Williams,26/09/1981,12306,33,261,33.71506849
31 January 2015,2015,2010s,Australian Open,Serena Williams,26/09/1981,12180,33,135,33.36986301
07 September 2014,2014,2010s,U.S. Open,Serena Williams,26/09/1981,12034,32,354,32.96986301
06 July 2014,2014,2010s,Wimbledon,Marion Bartoli,02/10/1984,10869,29,284,29.77808219
07 June 2014,2014,2010s,French Open,Maria Sharapova,19/04/1987,9911,27,56,27.15342466
25 January 2014,2014,2010s,Australian Open,Li Na,26/02/1982,11656,31,341,31.93424658
08 September 2013,2013,2010s,U.S. Open,Serena Williams,26/09/1981,11670,31,355,31.97260274
06 July 2013,2013,2010s,Wimbledon,Marion Bartoli,02/10/1984,10504,28,284,28.77808219
08 June 2013,2013,2010s,French Open,Serena Williams,26/09/1981,11578,31,263,31.72054795
26 January 2013,2013,2010s,Australian Open,Victoria Azarenka,31/07/1989,8580,23,185,23.50684932
09 September 2012,2012,2010s,U.S. Open,Serena Williams,26/09/1981,11306,30,356,30.97534247
07 July 2012,2012,2010s,Wimbledon,Serena Williams,26/09/1981,11242,30,292,30.8
10 June 2012,2012,2010s,French Open,Maria Sharapova,19/04/1987,9184,25,59,25.16164384
28 January 2012,2012,2010s,Australian Open,Victoria Azarenka,31/07/1989,8216,22,186,22.50958904
11 September 2011,2011,2010s,U.S. Open,Samantha Stosur,30/03/1984,10026,27,171,27.46849315
02 July 2011,2011,2010s,Wimbledon,Petra Kvitova,08/03/1990,7786,21,121,21.33150685
04 June 2011,2011,2010s,French Open,Li Na,26/02/1982,10690,29,105,29.28767123
29 January 2011,2011,2010s,Australian Open,Kim Clijsters,08/06/1983,10097,27,242,27.6630137
12 September 2010,2010,2010s,U.S. Open,Kim Clijsters,08/06/1983,9958,27,103,27.28219178
03 July 2010,2010,2010s,Wimbledon,Serena Williams,26/09/1981,10507,28,287,28.78630137
05 June 2010,2010,2010s,French Open,Francesca Schiavone,23/06/1980,10939,29,354,29.96986301
30 January 2010,2010,2010s,Australian Open,Serena Williams,26/09/1981,10353,28,133,28.36438356
13 September 2009,2009,2000s,U.S. Open,Kim Clijsters,08/06/1983,9594,26,104,26.28493151
04 July 2009,2009,2000s,Wimbledon,Serena Williams,26/09/1981,10143,27,288,27.7890411
06 June 2009,2009,2000s,French Open,Svetlana Kuznetsova,27/06/1985,8745,23,350,23.95890411
31 January 2009,2009,2000s,Australian Open,Serena Williams,26/09/1981,9989,27,134,27.36712329
07 September 2008,2008,2000s,U.S. Open,Serena Williams,26/09/1981,9843,26,353,26.96712329
05 July 2008,2008,2000s,Wimbledon,Venus Williams,17/06/1980,10245,28,25,28.06849315
07 June 2008,2008,2000s,French Open,Ana Ivanovic,06/11/1987,7519,20,219,20.6
26 January 2008,2008,2000s,Australian Open,Maria Sharapova,19/04/1987,7587,20,287,20.78630137
08 September 2007,2007,2000s,U.S. Open,Justine Henin-Hardenne,01/06/1982,9230,25,105,25.28767123
07 July 2007,2007,2000s,Wimbledon,Venus Williams,17/06/1980,9881,27,26,27.07123288
09 June 2007,2007,2000s,French Open,Justine Henin-Hardenne,01/06/1982,9139,25,14,25.03835616
27 January 2007,2007,2000s,Australian Open,Serena Williams,26/09/1981,9254,25,129,25.35342466
09 September 2006,2006,2000s,U.S. Open,Maria Sharapova,19/04/1987,7083,19,148,19.40547945
08 July 2006,2006,2000s,Wimbledon,Amelie Mauresmo,05/07/1979,9865,27,10,27.02739726
10 June 2006,2006,2000s,French Open,Justine Henin-Hardenne,01/06/1982,8775,24,15,24.04109589
28 January 2006,2006,2000s,Australian Open,Amelie Mauresmo,05/07/1979,9704,26,214,26.58630137
10 September 2005,2005,2000s,U.S. Open,Kim Clijsters,08/06/1983,8130,22,100,22.2739726
02 July 2005,2005,2000s,Wimbledon,Venus Williams,17/06/1980,9146,25,21,25.05753425
04 June 2005,2005,2000s,French Open,Justine Henin-Hardenne,01/06/1982,8404,23,9,23.02465753
29 January 2005,2005,2000s,Australian Open,Serena Williams,26/09/1981,8526,23,131,23.35890411
11 September 2004,2004,2000s,U.S. Open,Svetlana Kuznetsova,27/06/1985,7016,19,81,19.22191781
03 July 2004,2004,2000s,Wimbledon,Maria Sharapova,19/04/1987,6285,17,80,17.21917808
05 June 2004,2004,2000s,French Open,Anastasia Myskina,08/07/1981,8368,22,338,22.9260274
31 January 2004,2004,2000s,Australian Open,Justine Henin-Hardenne,01/06/1982,7914,21,249,21.68219178
06 September 2003,2003,2000s,U.S. Open,Justine Henin-Hardenne,01/06/1982,7767,21,102,21.27945205
05 July 2003,2003,2000s,Wimbledon,Serena Williams,26/09/1981,7952,21,287,21.78630137
07 June 2003,2003,2000s,French Open,Justine Henin-Hardenne,01/06/1982,7676,21,11,21.03013699
25 January 2003,2003,2000s,Australian Open,Serena Williams,26/09/1981,7791,21,126,21.34520548
07 September 2002,2002,2000s,U.S. Open,Serena Williams,26/09/1981,7651,20,351,20.96164384
06 July 2002,2002,2000s,Wimbledon,Serena Williams,26/09/1981,7588,20,288,20.7890411
08 June 2002,2002,2000s,French Open,Serena Williams,26/09/1981,7560,20,260,20.71232877
26 January 2002,2002,2000s,Australian Open,Jennifer Capriati,29/03/1976,9434,25,309,25.84657534
08 September 2001,2001,2000s,U.S. Open,Venus Williams,17/06/1980,7753,21,88,21.24109589
08 July 2001,2001,2000s,Wimbledon,Venus Williams,17/06/1980,7691,21,26,21.07123288
09 June 2001,2001,2000s,French Open,Jennifer Capriati,29/03/1976,9203,25,78,25.21369863
27 January 2001,2001,2000s,Australian Open,Jennifer Capriati,29/03/1976,9070,24,310,24.84931507
09 September 2000,2000,2000s,U.S. Open,Venus Williams,17/06/1980,7389,20,89,20.24383562
08 July 2000,2000,2000s,Wimbledon,Venus Williams,17/06/1980,7326,20,26,20.07123288
10 June 2000,2000,2000s,French Open,Mary Pierce,15/01/1975,9278,25,153,25.41917808
29 January 2000,2000,2000s,Australian Open,Lindsay Davenport,08/06/1976,8635,23,240,23.65753425
11 September 1999,1999,1990s,U.S. Open,Serena Williams,26/09/1981,6559,17,354,17.96986301
03 July 1999,1999,1990s,Wimbledon,Lindsay Davenport,08/06/1976,8425,23,30,23.08219178
05 June 1999,1999,1990s,French Open,Steffi Graf,14/06/1969,10948,29,363,29.99452055
30 January 1999,1999,1990s,Australian Open,Martina Hingis,30/09/1980,6696,18,126,18.34520548
12 September 1998,1998,1990s,U.S. Open,Lindsay Davenport,08/06/1976,8131,22,101,22.27671233
04 July 1998,1998,1990s,Wimbledon,Jana Novotna,02/11/1968,10836,29,251,29.68767123
06 June 1998,1998,1990s,French Open,Arantxa Sánchez Vicario,18/12/1971,9667,26,177,26.48493151
31 January 1998,1998,1990s,Australian Open,Martina Hingis,30/09/1980,6332,17,127,17.34794521
06 September 1997,1997,1990s,U.S. Open,Martina Hingis,30/09/1980,6185,16,345,16.94520548
05 July 1997,1997,1990s,Wimbledon,Martina Hingis,30/09/1980,6122,16,282,16.77260274
07 June 1997,1997,1990s,French Open,Iva Majoli,12/08/1977,7239,19,304,19.83287671
25 January 1997,1997,1990s,Australian Open,Martina Hingis,30/09/1980,5961,16,121,16.33150685
07 September 1996,1996,1990s,U.S. Open,Steffi Graf,14/06/1969,9947,27,92,27.25205479
06 July 1996,1996,1990s,Wimbledon,Steffi Graf,14/06/1969,9884,27,29,27.07945205
08 June 1996,1996,1990s,French Open,Steffi Graf,14/06/1969,9856,27,1,27.00273973
27 January 1996,1996,1990s,Australian Open,Monica Seles,02/12/1973,8091,22,61,22.16712329
09 September 1995,1995,1990s,U.S. Open,Steffi Graf,14/06/1969,9583,26,93,26.25479452
08 July 1995,1995,1990s,Wimbledon,Steffi Graf,14/06/1969,9520,26,30,26.08219178
10 June 1995,1995,1990s,French Open,Steffi Graf,14/06/1969,9492,26,2,26.00547945
28 January 1995,1995,1990s,Australian Open,Mary Pierce,15/01/1975,7318,20,18,20.04931507
10 September 1994,1994,1990s,U.S. Open,Arantxa Sánchez Vicario,18/12/1971,8302,22,272,22.74520548
02 July 1994,1994,1990s,Wimbledon,Conchita Martínez,16/04/1972,8112,22,82,22.22465753
04 June 1994,1994,1990s,French Open,Arantxa Sánchez Vicario,18/12/1971,8204,22,174,22.47671233
29 January 1994,1994,1990s,Australian Open,Steffi Graf,14/06/1969,8995,24,235,24.64383562
11 September 1993,1993,1990s,U.S. Open,Steffi Graf,14/06/1969,8855,24,95,24.26027397
03 July 1993,1993,1990s,Wimbledon,Steffi Graf,14/06/1969,8785,24,25,24.06849315
05 June 1993,1993,1990s,French Open,Steffi Graf,14/06/1969,8757,23,362,23.99178082
30 January 1993,1993,1990s,Australian Open,Monica Seles,02/12/1973,6999,19,64,19.17534247
12 September 1992,1992,1990s,U.S. Open,Monica Seles,02/12/1973,6859,18,289,18.79178082
04 July 1992,1992,1990s,Wimbledon,Steffi Graf,14/06/1969,8421,23,26,23.07123288
06 June 1992,1992,1990s,French Open,Monica Seles,02/12/1973,6761,18,191,18.52328767
25 January 1992,1992,1990s,Australian Open,Monica Seles,02/12/1973,6628,18,58,18.15890411
07 September 1991,1991,1990s,U.S. Open,Monica Seles,02/12/1973,6488,17,283,17.77534247
06 July 1991,1991,1990s,Wimbledon,Steffi Graf,14/06/1969,8057,22,27,22.0739726
08 June 1991,1991,1990s,French Open,Monica Seles,02/12/1973,6397,17,192,17.5260274
26 January 1991,1991,1990s,Australian Open,Monica Seles,02/12/1973,6264,17,59,17.16164384
08 September 1990,1990,1990s,U.S. Open,Gabriela Sabatini,16/05/1970,7420,20,120,20.32876712
07 July 1990,1990,1990s,Wimbledon,Martina Navratilova,18/10/1956,12315,33,270,33.73972603
09 June 1990,1990,1990s,French Open,Monica Seles,02/12/1973,6033,16,193,16.52876712
27 January 1990,1990,1990s,Australian Open,Steffi Graf,14/06/1969,7532,20,232,20.63561644
09 September 1989,1989,1980s,U.S. Open,Steffi Graf,14/06/1969,7392,20,92,20.25205479
08 July 1989,1989,1980s,Wimbledon,Steffi Graf,14/06/1969,7329,20,29,20.07945205
10 June 1989,1989,1980s,French Open,Arantxa Sánchez Vicario,18/12/1971,6384,17,179,17.49041096
28 January 1989,1989,1980s,Australian Open,Steffi Graf,14/06/1969,7168,19,233,19.63835616
10 September 1988,1988,1980s,U.S. Open,Steffi Graf,14/06/1969,7028,19,93,19.25479452
03 July 1988,1988,1980s,Wimbledon,Steffi Graf,14/06/1969,6959,19,24,19.06575342
04 June 1988,1988,1980s,French Open,Steffi Graf,14/06/1969,6930,18,360,18.98630137
23 January 1988,1988,1980s,Australian Open,Steffi Graf,14/06/1969,6797,18,227,18.62191781
13 September 1987,1987,1980s,U.S. Open,Martina Navratilova,18/10/1956,11287,30,337,30.92328767
04 July 1987,1987,1980s,Wimbledon,Martina Navratilova,18/10/1956,11216,30,266,30.72876712
06 June 1987,1987,1980s,French Open,Steffi Graf,14/06/1969,6566,17,361,17.9890411
24 January 1987,1987,1980s,Australian Open,Hana Mandlíková,19/02/1962,9105,24,345,24.94520548
06 September 1986,1986,1980s,U.S. Open,Martina Navratilova,18/10/1956,10915,29,330,29.90410959
05 July 1986,1986,1980s,Wimbledon,Martina Navratilova,18/10/1956,10852,29,267,29.73150685
07 June 1986,1986,1980s,French Open,Chris Evert Lloyd,21/12/1954,11491,31,176,31.48219178
07 December 1985,1985,1980s,Australian Open,Martina Navratilova,18/10/1956,10642,29,57,29.15616438
07 September 1985,1985,1980s,U.S. Open,Hana Mandlíková,19/02/1962,8601,23,206,23.56438356
06 July 1985,1985,1980s,Wimbledon,Martina Navratilova,18/10/1956,10488,28,268,28.73424658
08 June 1985,1985,1980s,French Open,Chris Evert Lloyd,21/12/1954,11127,30,177,30.48493151
08 December 1984,1984,1980s,Australian Open,Chris Evert Lloyd,21/12/1954,10945,29,360,29.98630137
08 September 1984,1984,1980s,U.S. Open,Martina Navratilova,18/10/1956,10187,27,332,27.90958904
07 July 1984,1984,1980s,Wimbledon,Martina Navratilova,18/10/1956,10124,27,269,27.7369863
09 June 1984,1984,1980s,French Open,Martina Navratilova,18/10/1956,10096,27,241,27.66027397
10 December 1983,1983,1980s,Australian Open,Martina Navratilova,18/10/1956,9914,27,59,27.16164384
10 September 1983,1983,1980s,U.S. Open,Martina Navratilova,18/10/1956,9823,26,333,26.91232877
02 July 1983,1983,1980s,Wimbledon,Martina Navratilova,18/10/1956,9753,26,263,26.72054795
04 June 1983,1983,1980s,French Open,Chris Evert Lloyd,21/12/1954,10392,28,172,28.47123288
12 December 1982,1982,1980s,Australian Open,Chris Evert Lloyd,21/12/1954,10218,27,363,27.99452055
11 September 1982,1982,1980s,U.S. Open,Chris Evert Lloyd,21/12/1954,10126,27,271,27.74246575
03 July 1982,1982,1980s,Wimbledon,Martina Navratilova,18/10/1956,9389,25,264,25.72328767
05 June 1982,1982,1980s,French Open,Martina Navratilova,18/10/1956,9361,25,236,25.64657534
02 January 1982,1981,1980s,Australian Open,Martina Navratilova,18/10/1956,9207,25,82,25.22465753
12 September 1981,1981,1980s,U.S. Open,Tracy Austin,12/12/1962,6849,18,279,18.76438356
03 July 1981,1981,1980s,Wimbledon,Chris Evert Lloyd,21/12/1954,9691,26,201,26.55068493
06 June 1981,1981,1980s,French Open,Hana Mandlíková,19/02/1962,7047,19,112,19.30684932
03 January 1981,1980,1980s,Australian Open,Hana Mandlíková,19/02/1962,6893,18,323,18.88493151
06 September 1980,1980,1980s,U.S. Open,Chris Evert Lloyd,21/12/1954,9391,25,266,25.72876712
05 July 1980,1980,1980s,Wimbledon,Evonne Goolagong Cawley,31/07/1951,10567,28,347,28.95068493
07 June 1980,1980,1980s,French Open,Chris Evert Lloyd,21/12/1954,9300,25,175,25.47945205
01 January 1980,1979,1970s,Australian Open,Barbara Jordan,02/04/1957,8309,22,279,22.76438356
08 September 1979,1979,1970s,U.S. Open,Tracy Austin,12/12/1962,6114,16,274,16.75068493
06 July 1979,1979,1970s,Wimbledon,Martina Navratilova,18/10/1956,8296,22,266,22.72876712
10 June 1979,1979,1970s,French Open,Chris Evert Lloyd,21/12/1954,8937,24,177,24.48493151
02 January 1979,1978,1970s,Australian Open,Chris O'Neil,19/03/1956,8324,22,294,22.80547945
09 September 1978,1978,1970s,U.S. Open,Chris Evert Lloyd,21/12/1954,8663,23,268,23.73424658
07 July 1978,1978,1970s,Wimbledon,Martina Navratilova,18/10/1956,7932,21,267,21.73150685
10 June 1978,1978,1970s,French Open,Virginia Ruzici,31/01/1955,8531,23,136,23.37260274
30 December 1977,1977,1970s,Australian Open,Evonne Goolagong Cawley,31/07/1951,9649,26,159,26.43561644
10 September 1977,1977,1970s,U.S. Open,Chris Evert Lloyd,21/12/1954,8299,22,269,22.7369863
01 July 1977,1977,1970s,Wimbledon,Virginia Wade,10/07/1945,11679,31,364,31.99726027
04 June 1977,1977,1970s,French Open,Mima Jaušovec,20/07/1956,7624,20,324,20.88767123
08 January 1977,1977,1970s,Australian Open,Kerry Melville Reid,07/08/1947,10747,29,162,29.44383562
11 September 1976,1976,1970s,U.S. Open,Chris Evert Lloyd,21/12/1954,7935,21,270,21.73972603
02 July 1976,1976,1970s,Wimbledon,Chris Evert Lloyd,21/12/1954,7864,21,199,21.54520548
03 January 1976,1976,1970s,Australian Open,Evonne Goolagong Cawley,31/07/1951,8922,24,162,24.44383562
13 June 1976,1976,1970s,French Open,Sue Barker,19/04/1956,7360,20,60,20.16438356
06 September 1975,1975,1970s,U.S. Open,Chris Evert Lloyd,21/12/1954,7564,20,264,20.72328767
04 July 1975,1975,1970s,Wimbledon,Billie Jean King,22/11/1943,11547,31,232,31.63561644
14 June 1975,1975,1970s,French Open,Chris Evert Lloyd,21/12/1954,7480,20,180,20.49315068
31 December 1974,1975,1970s,Australian Open,Evonne Goolagong Cawley,31/07/1951,8554,23,159,23.43561644
07 September 1974,1974,1970s,U.S. Open,Margaret Smith Court,16/07/1942,11741,32,61,32.16712329
05 July 1974,1974,1970s,Wimbledon,Chris Evert Lloyd,21/12/1954,7136,19,201,19.55068493
15 June 1974,1974,1970s,French Open,Chris Evert Lloyd,21/12/1954,7116,19,181,19.49589041
31 December 1973,1974,1970s,Australian Open,Evonne Goolagong Cawley,31/07/1951,8189,22,159,22.43561644
08 September 1973,1973,1970s,U.S. Open,Margaret Smith Court,16/07/1942,11377,31,62,31.16986301
07 July 1973,1973,1970s,Wimbledon,Billie Jean King,22/11/1943,10820,29,235,29.64383562
02 June 1973,1973,1970s,French Open,Margaret Smith Court,16/07/1942,11279,30,329,30.90136986
31 December 1972,1973,1970s,Australian Open,Margaret Smith Court,16/07/1942,11126,30,176,30.48219178
09 September 1972,1972,1970s,U.S. Open,Billie Jean King,22/11/1943,10519,28,299,28.81917808
08 July 1972,1972,1970s,Wimbledon,Billie Jean King,22/11/1943,10456,28,236,28.64657534
03 June 1972,1972,1970s,French Open,Billie Jean King,22/11/1943,10421,28,201,28.55068493
02 January 1972,1972,1970s,Australian Open,Virginia Wade,10/07/1945,9672,26,182,26.49863014
11 September 1971,1971,1970s,U.S. Open,Billie Jean King,22/11/1943,10155,27,300,27.82191781
02 July 1971,1971,1970s,Wimbledon,Evonne Goolagong Cawley,31/07/1951,7276,19,341,19.93424658
05 June 1971,1971,1970s,French Open,Evonne Goolagong Cawley,31/07/1951,7249,19,314,19.86027397
13 March 1971,1971,1970s,Australian Open,Margaret Smith Court,16/07/1942,10467,28,247,28.67671233
12 September 1970,1970,1970s,U.S. Open,Margaret Smith Court,16/07/1942,10285,28,65,28.17808219
03 July 1970,1970,1970s,Wimbledon,Margaret Smith Court,16/07/1942,10214,27,359,27.98356164
06 June 1970,1970,1970s,French Open,Margaret Smith Court,16/07/1942,10187,27,332,27.90958904
26 January 1970,1970,1970s,Australian Open,Margaret Smith Court,16/07/1942,10056,27,201,27.55068493
08 September 1969,1969,1960s,U.S. Open,Margaret Smith Court,16/07/1942,9916,27,61,27.16712329
04 July 1969,1969,1960s,Wimbledon,Ann Jones,07/10/1938,11228,30,278,30.76164384
07 June 1969,1969,1960s,French Open,Margaret Smith Court,16/07/1942,9823,26,333,26.91232877
26 January 1969,1969,1960s,Australian Open,Margaret Smith Court,16/07/1942,9691,26,201,26.55068493
07 September 1968,1968,1960s,U.S. Open,Virginia Wade,10/07/1945,8460,23,65,23.17808219
05 July 1968,1968,1960s,Wimbledon,Billie Jean King,22/11/1943,8992,24,232,24.63561644
08 June 1968,1968,1960s,French Open,Nancy Richey,23/08/1942,9421,25,296,25.8109589
28 January 1968,1968,1960s,Australian Open,Billie Jean King,22/11/1943,8833,24,73,24.2
09 September 1967,1967,1960s,U.S. Open,Billie Jean King,22/11/1943,8692,23,297,23.81369863
06 July 1967,1967,1960s,Wimbledon,Billie Jean King,22/11/1943,8627,23,232,23.63561644
02 June 1967,1967,1960s,French Open,Françoise Dürr,25/12/1942,8925,24,165,24.45205479
29 January 1967,1967,1960s,Australian Open,Nancy Richey,23/08/1942,8925,24,165,24.45205479
11 September 1966,1966,1960s,U.S. Open,Maria Bueno,11/10/1939,9832,26,342,26.9369863
01 July 1966,1966,1960s,Wimbledon,Billie Jean King,22/11/1943,8257,22,227,22.62191781
04 June 1966,1966,1960s,French Open,Ann Jones,07/10/1938,10102,27,247,27.67671233
30 January 1966,1966,1960s,Australian Open,Margaret Smith Court,16/07/1942,8599,23,204,23.55890411
11 September 1965,1965,1960s,U.S. Open,Margaret Smith Court,16/07/1942,8458,23,63,23.17260274
01 July 1965,1965,1960s,Wimbledon,Margaret Smith Court,16/07/1942,8386,22,356,22.97534247
28 May 1965,1965,1960s,French Open,Lesley Turner Bowrey,16/08/1942,8321,22,291,22.79726027
31 January 1965,1965,1960s,Australian Open,Margaret Smith Court,16/07/1942,8235,22,205,22.56164384
12 September 1964,1964,1960s,U.S. Open,Maria Bueno,11/10/1939,9103,24,343,24.93972603
02 July 1964,1964,1960s,Wimbledon,Maria Bueno,11/10/1939,9031,24,271,24.74246575
29 May 1964,1964,1960s,French Open,Margaret Smith Court,16/07/1942,7988,21,323,21.88493151
12 January 1964,1964,1960s,Australian Open,Margaret Smith Court,16/07/1942,7850,21,185,21.50684932
07 September 1963,1963,1960s,U.S. Open,Maria Bueno,11/10/1939,8732,23,337,23.92328767
04 July 1963,1963,1960s,Wimbledon,Margaret Smith Court,16/07/1942,7658,20,358,20.98082192
25 May 1963,1963,1960s,French Open,Lesley Turner Bowrey,16/08/1942,7587,20,287,20.78630137
18 January 1963,1963,1960s,Australian Open,Margaret Smith Court,16/07/1942,7491,20,191,20.52328767
